head1_head0_trans_x,head1_head0_trans_y,,,,,head1_head0_ori_w,head1_head1_trans_x,head1_head1_ori_x,head1_head1_ori_y,head1_head2_trans_z,head1_AU07,,head1_AU09,head1_AU12,ClassP1,Class_P0
0.333684558,-0.206121527,,,,,0.965789024,0,0,0,0.800659092,0,,0,1,FALSE,FALSE
0.408967383,-0.013326705,,,,,0.977167693,0,0,0,0.800659092,1,,0,1,FALSE,FALSE
0.504055417,0.036088375,,,,,0.989971524,0,0,0,0.800659092,1,,0,1,FALSE,FALSE
0.546863239,0.016431607,,,,,0.989714624,0,0,0,0.800659092,1,,0,1,FALSE,FALSE
0.333085316,-0.092249204,,,,,0.947573243,0,0,0,0.800659092,1,,0,1,FALSE,FALSE
0.333085316,-0.092249204,,,,,0.947573243,0,0,0,0.800659092,1,,0,1,FALSE,FALSE
0.439092197,-0.058482175,,,,,0.925056764,0,0,0,0.800659092,1,,0,1,FALSE,FALSE
0.430638827,-0.005891692,,,,,0.921101978,0,0,0,0.800659092,0,,0,0,FALSE,FALSE
0.352919727,0.02490997,,,,,0.917531849,0,0,0,0.800659092,0,,0,1,TRUE,FALSE
0.420302299,-0.092255247,,,,,0.933252453,0,0,0,0.800659092,1,,0,1,TRUE,FALSE
0.45483696,-0.183589727,,,,,0.950157137,0,0,0,-0.069131067,0,,0,1,TRUE,FALSE
0.192457765,-0.089410655,,,,,0.837586059,0,0,0,0.222147972,0,,0,1,TRUE,FALSE
0.137219267,-0.056601694,,,,,0.87047845,0,0,0,-0.041588907,,,,,TRUE,FALSE
0.137219267,-0.056601694,,,,,0.87047845,0,0,0,-0.041588907,,,,,TRUE,FALSE
0.595714896,-0.033553499,,,,,0.98008702,0,0,0,0.830238545,0,,0,1,TRUE,FALSE
0.333939467,-0.024483189,,,,,0.911895981,0,0,0,0.633765216,0,,0,1,TRUE,FALSE
0.563040149,0.104078258,,,,,0.958547923,0,0,0,1.207210754,0,,0,1,TRUE,FALSE
0.623194159,0.10168958,,,,,0.960903647,0,0,0,1.123466262,,,,,TRUE,FALSE
0.685714222,0.04158196,,,,,0.992078524,0,0,0,0.056847357,1,,0,0,TRUE,FALSE
0.659318344,-0.007917297,,,,,0.981621425,0,0,0,0.23634514,1,,0,0,TRUE,FALSE
0.659318344,-0.007917297,,,,,0.981621425,0,0,0,0.23634514,0,,0,1,TRUE,FALSE
0.615863959,0.05686964,,,,,0.967453218,0,0,0,0.034605169,0,,0,1,TRUE,FALSE
0.553730671,-0.044162319,,,,,0.93650807,0,0,0,0.034605169,,,,,TRUE,FALSE
0.553730671,-0.044162319,,,,,0.93650807,0,0,0,0.034605169,,,,,TRUE,FALSE
0.726097716,-0.42187988,,,,,0.889285083,0,0,0,0.08519814,0,,0,1,TRUE,FALSE
0.826767918,-0.335537845,,,,,0.950398243,0,0,0,0.345316861,0,,0,0,TRUE,FALSE
0.576622441,0.280308081,,,,,0.853775924,0,0,0,0.347219191,0,,0,0,TRUE,FALSE
1.334535414,-0.045077265,,,,,0.867408469,0,0,0,0.416500319,1,,0,1,TRUE,FALSE
-0.688634332,0.024931271,,,,,0.980990335,0,0,0,0.641746942,1,,0,0,FALSE,FALSE
-0.70908546,-0.003707608,,,,,0.912978227,0,0,0,0.284298709,0,,0,0,FALSE,FALSE
-0.722792595,0.034018252,,,,,0.871976413,0,0,0,0.159703369,0,,0,0,FALSE,FALSE
-0.716031751,-0.019325354,,,,,0.886876331,0,0,0,0.272512404,1,,0,0,FALSE,FALSE
-0.693311628,0.000231966,,,,,0.861640188,0,0,0,0.303175638,0,,0,0,FALSE,FALSE
-0.693311628,0.000231966,,,,,0.861640188,0,0,0,0.303175638,0,,0,0,FALSE,FALSE
-0.693311628,0.000231966,,,,,0.861640188,0,0,0,0.303175638,0,,0,0,FALSE,FALSE
-0.693311628,0.000231966,,,,,0.861640188,0,0,0,0.303175638,1,,0,0,FALSE,FALSE
-0.693311628,0.000231966,,,,,0.861640188,0,0,0,0.303175638,1,,0,0,FALSE,FALSE
-0.693311628,0.000231966,,,,,0.861640188,0,0,0,0.303175638,0,,0,0,FALSE,FALSE
-0.693311628,0.000231966,,,,,0.861640188,0,0,0,0.303175638,0,,0,0,FALSE,FALSE
-0.729454976,0.016263252,,,,,0.997563507,0,0,0,-0.024249558,0,,0,0,FALSE,FALSE
-0.752687643,-0.001097314,,,,,0.994091686,0,0,0,-0.004955489,0,,1,0,FALSE,FALSE
-0.669030004,-0.010108453,,,,,0.999921718,0,0,0,0.139662961,0,,1,1,FALSE,FALSE
