head1_head0_trans_x,head1_head0_trans_y,head1_head0_trans_z,head1_head0_ori_x,head1_head0_ori_y,head1_head0_ori_z,head1_head0_ori_w,head1_head1_trans_x,head1_head1_trans_y,head1_head1_trans_z,head1_head1_ori_x,head1_head1_ori_y,head1_head1_ori_z,head1_head1_ori_w,head1_head2_trans_x,head1_head2_trans_y,head1_head2_trans_z,head1_head2_ori_x,head1_head2_ori_y,head1_head2_ori_z,head1_head2_ori_w,head1_emo,head1_AU28,head1_AU45,head1_AU26,head1_AU25,head1_AU01,head1_AU05,head1_AU20,head1_AU06,head1_AU23,head1_AU07,head1_AU02,head1_AU09,head1_AU17,head1_AU10,head1_AU04,head1_AU12,head1_AU14,head1_AU15,head1_pose,ClassP1,Class_P0
1.095930336,-0.176247484,-0.05769642,0.0212829,-0.20333689,0.000804086,0.978877163,0,0,0,0,0,0,1,0.565700075,0.020344084,-0.178319302,0.022949909,-0.365875353,-0.019556301,0.930175295,neutual,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,handsOnFace,FALSE,FALSE
1.274821388,-0.146202242,-0.377720004,0.058298362,-0.144905161,0.018409487,0.987555004,0,0,0,0,0,0,1,0.482294585,0.011508077,0.203341234,0.026526283,-0.253761594,0.01731635,0.966747927,anger,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,handsOnFace,FALSE,FALSE
0.920009627,-0.208143046,-0.05697632,-0.07864837,-0.230097969,-0.086629904,0.966107974,0,0,0,0,0,0,1,0.465399011,-0.027388209,0.024922853,-0.075021779,-0.358060392,0.046015704,0.929541308,neutual,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,handsOnFace,FALSE,FALSE
1.004237425,-0.136505884,0.299524931,-0.096329432,-0.250266247,-0.087888603,0.959355534,0,0,0,0,0,0,1,0.447165652,0.037014905,0.084612475,-0.06103428,-0.084467811,0.066294578,0.992343204,neutual,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,error,FALSE,FALSE
1.001870258,-0.075186298,0.281288644,-0.136118614,-0.277132526,-0.056552223,0.949458336,0,0,0,0,0,0,1,0.443251177,0.051519898,0.033230401,-0.199763264,-0.086961522,0.085948107,0.972185813,neutual,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,handsOnFace,FALSE,FALSE
1.045104239,-0.183753049,0.228859287,-0.099697801,-0.212254176,-0.106379101,0.966277393,0,0,0,0,0,0,1,0.474532022,0.012434212,0.074566528,-0.149104954,0.015560367,0.062237138,0.986738125,neutual,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,handsOnFace,FALSE,FALSE
1.03084837,-0.167290885,0.344214007,-0.164441476,-0.239464757,-0.116117021,0.949806543,0,0,0,0,0,0,1,0.478661421,0.016783295,0.154912979,-0.206749576,-0.016513675,0.028965052,0.977825617,neutual,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,error,FALSE,FALSE
1.249284715,-0.106706133,0.44297728,-0.347071841,-0.180659715,-0.126596147,0.911524339,0,0,0,0,0,0,1,0.502386496,0.028426657,0.669954569,-0.209190213,-0.061180147,0.047493855,0.974802943,happy,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,other,FALSE,FALSE
0.928781735,-0.299262305,0.562042306,0.022994002,-0.318592415,-0.097312625,0.942602993,0,0,0,0,0,0,1,0.522559586,-0.096078167,0.353314167,0.076322003,-0.131995838,-0.051280046,0.986976397,neutual,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,other,FALSE,FALSE
0.931823166,-0.300185746,0.56040805,0.01271488,-0.313483256,-0.121301861,0.941728431,0,0,0,0,0,0,1,0.527850655,-0.098288645,0.355284114,0.080565831,-0.137551969,-0.062263896,0.985247081,neutual,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,handsOnFace,FALSE,FALSE
